UserGuid,culture,scenario,interface,complete,first,last,phone,dob,sex,race,email,zip,ssn,address,citizenship,website,password,username,relationship,reason,total,total_possible,percent
0,USA,Bank,A,-,1,1,1,2,0,0,1,1,0,3,0,0,3,1,0,-,14,27,0.518518519
0,USA,Shop,A,-,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,-,5,24,0.208333333
0,USA,Bank,B,-,1,1,1,2,0,0,1,1,0,3,0,0,3,1,0,-,14,27,0.518518519
0,USA,Shop,B,-,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,-,5,24,0.208333333
1,USA,Bank,A,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,1,27,0.037037037
1,USA,Shop,A,-,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,-,5,24,0.208333333
1,USA,Bank,B,-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-,1,27,0.037037037
1,USA,Shop,B,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,1,24,0.041666667
2,USA,Bank,A,-,1,1,1,2,0,0,1,1,3,3,0,0,3,1,2,-,19,27,0.703703704
2,USA,Shop,A,-,1,1,1,0,0,0,1,0,0,3,0,0,3,1,0,-,11,24,0.458333333
2,USA,Bank,B,-,1,1,1,2,0,0,1,1,3,3,0,0,3,1,0,-,17,27,0.62962963
2,USA,Shop,B,-,1,1,1,0,0,0,1,0,0,3,0,0,3,1,0,-,11,24,0.458333333
3,USA,Bank,A,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,1,27,0.037037037
3,USA,Shop,A,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,1,24,0.041666667
3,USA,Bank,B,-,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-,2,27,0.074074074
3,USA,Shop,B,-,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-,2,24,0.083333333
4,USA,Bank,A,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,1,27,0.037037037
4,USA,Shop,A,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,1,24,0.041666667
4,USA,Bank,B,-,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,-,3,27,0.111111111
4,USA,Shop,B,Yes,0,*,0,0,0,0,0,0,0,0,0,0,*,0,0,I do not trust this company with this information,0,24,0
5,USA,Bank,A,-,1,1,1,2,1,2,1,1,0,3,2,0,3,1,2,-,21,27,0.777777778
5,USA,Shop,A,-,1,1,0,0,0,0,1,0,0,0,0,0,3,1,0,-,7,24,0.291666667
5,USA,Bank,B,-,1,1,1,2,1,0,1,1,0,3,2,0,3,1,2,-,19,27,0.703703704
5,USA,Shop,B,-,1,1,1,2,1,0,1,0,0,0,0,0,3,1,0,-,11,24,0.458333333
6,USA,Bank,A,-,1,1,1,2,1,2,1,1,3,3,2,0,3,1,0,-,22,27,0.814814815
6,USA,Shop,A,-,1,1,1,2,1,0,1,0,0,3,0,3,3,1,0,-,17,24,0.708333333
6,USA,Bank,B,-,1,1,1,2,1,0,1,1,3,3,2,0,3,1,0,-,20,27,0.740740741
6,USA,Shop,B,-,1,1,1,2,1,0,1,0,0,3,0,3,3,1,0,-,17,24,0.708333333
7,USA,Bank,A,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-,1,27,0.037037037
7,USA,Shop,A,-,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-,2,24,0.083333333
7,USA,Bank,B,-,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-,2,27,0.074074074
7,USA,Shop,B,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-,1,24,0.041666667
8,USA,Bank,A,-,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-,2,27,0.074074074
8,USA,Shop,A,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,1,24,0.041666667
8,USA,Bank,B,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-,1,27,0.037037037
8,USA,Shop,B,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,1,24,0.041666667
9,USA,Bank,A,-,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,-,5,27,0.185185185
9,USA,Shop,A,-,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,-,6,24,0.25
9,USA,Bank,B,-,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,-,5,27,0.185185185
9,USA,Shop,B,-,1,1,0,2,0,0,0,0,0,0,0,0,3,0,0,-,7,24,0.291666667
